id,first_name,last_name,gender,weight,age
1,Winfield,Skeermer,Male,147,87
2,Reginauld,Farreil,Male,205,80
3,Melonie,Duferie,Female,243,60
4,Fletcher,Lothean,Male,49,6
5,Alfred,Semble,Male,206,62
6,Hy,Yeandel,Male,223,38
7,Bernardo,Footitt,Male,62,10
8,Timmy,Saines,Female,122,70
9,Timmie,Gery,Female,138,39
10,Dorey,Scholl,Male,201,57
11,Gianni,Wheldon,Male,68,44
12,Clemmy,Studholme,Female,151,91
13,Vivyanne,Halso,Female,122,75
14,Pat,Belt,Female,117,65
15,Penny,Blaxley,Female,135,78
16,Franchot,Jaimez,Male,159,99
17,Kermit,Surcomb,Male,64,10
18,Amil,Sabathier,Female,172,70
19,Germain,Donkersley,Male,215,62
20,Jourdan,Yesichev,Female,242,32
21,Quinta,Causon,Female,100,44
22,Tanitansy,Beeswing,Female,231,75
23,Lonnie,Ody,Female,236,67
24,Burnaby,Widocks,Male,61,9
25,Fraser,Ilett,Male,173,57
26,Maribelle,Caddy,Female,238,72
27,Trace,Sign,Male,170,75
28,Dan,Hundley,Male,166,97
29,Blair,Tulip,Male,160,50
30,Katee,Proudler,Female,48,7
31,Orrin,Midgely,Male,124,39
32,Nobie,Perel,Male,117,86
33,Georg,D'Ambrosi,Male,165,59
34,Wait,Yurkov,Male,242,72
35,Denys,Ghilardi,Male,169,70
36,Babette,Gates,Female,134,18
37,Rosalinda,Colclough,Female,150,76
38,Janine,Dines,Female,191,82
39,Pattie,Jervoise,Female,112,53
40,Neysa,Meedendorpe,Female,143,65
41,Isidore,Lovewell,Male,189,40
42,Bernhard,Brougham,Male,147,82
43,Meara,Doldon,Female,211,67
44,Elnar,Kippins,Male,48,5
45,Ingamar,Quye,Male,193,32
46,Karee,Voff,Female,156,17
47,Clarine,Busson,Female,124,71
48,Diane-marie,Hayland,Female,81,20
49,Carina,Hullah,Female,103,33
50,Gustavo,Fearneley,Male,232,89
