id,first_name,last_name,weight,age
1,Ardelia,Digges,72,54
2,Caddric,Fairweather,255,70
3,Jillene,Dumbleton,299,24
4,Wain,Turrill,265,8
5,Ludwig,Lavis,228,14
6,Orlan,Vallerine,278,106
7,Manfred,Rubin,234,98
8,Jeanine,Punyer,57,71
9,Chilton,Fay,272,76
10,Gregoor,Hatto,281,77
11,Tatiana,Dollar,53,75
12,Sarine,Ciobutaro,264,91
13,Editha,Cosstick,147,39
14,Kip,Medmore,233,83
15,Sawyer,McTerry,170,105
16,Pincus,Metzig,142,74
17,Tyler,Goburn,279,14
18,Wilhelm,Antoni,293,109
19,Saul,Uvedale,212,33
20,Harry,Wahncke,291,22
21,Dane,Drohan,268,102
22,Elsi,Micka,93,33
23,Sascha,Dollin,192,20
24,Emyle,Gercke,260,97
25,Rana,Janicek,167,120
26,Lemuel,Biddle,225,19
27,Ranique,Cornelis,295,100
28,Letta,Veelers,266,31
29,Alikee,McQuaid,46,9
30,Aurel,Smeeton,300,64
31,Diann,Hardman,269,45
32,Pippa,Louder,203,48
33,Nani,Mc Coughan,227,54
34,Uriel,Faughey,191,27
35,Jannel,Sheehy,113,31
36,Silvana,Hopkyns,226,51
37,Olva,Wycliffe,90,74
38,Ugo,Antill,289,15
39,Karrie,Flaune,295,116
40,Brodie,Colt,246,38
41,Nanette,Hamson,213,57
42,Kassey,Brend,151,23
43,Rex,Andreia,73,103
44,Edwina,MacAlaster,65,63
45,Giorgia,Isselee,297,39
46,Mufi,Greenshiels,235,23
47,Dulci,Sharrocks,64,38
48,Harman,Flattman,49,36
49,Steffi,Caldwell,256,45
50,Ephrayim,Maryet,288,86
51,Sheelagh,Zienkiewicz,188,82
52,Andrei,Overton,139,47
53,Jaime,Radolf,298,65
54,Esdras,Elwill,202,43
55,Barde,Arney,280,5
56,Abramo,Klimkov,165,7
57,Sly,Thomel,66,102
58,Tildy,Oller,213,35
59,Rayshell,Sexti,118,31
60,Aurlie,Brack,177,89
61,Bax,Riddington,166,29
62,Carmel,Trippitt,209,95
63,Valdemar,Kagan,187,16
64,Darwin,Gaitung,82,45
65,Bel,Malser,229,98
66,Anastasia,Kynder,269,108
67,Beitris,Baile,252,118
68,Kendre,Dicks,53,32
69,Glenn,Iremonger,210,92
70,Lisabeth,Allebone,199,27
71,Joyce,Whitman,61,98
72,Carmina,Eagan,222,38
73,Zabrina,Marjoribanks,221,39
74,Gayleen,Rantoul,270,10
